date,content,reply_count,retweet_count,like_count,quote_count,hashtags,emojis
2022-10-31,"We can use #AI to understand how our planet is changing—and most importantly, how we can respond. Watch the full episode. https://t.co/4V6Nup6mze @WIRED https://t.co/Scfk14fUXn",51,42,117,9,['AI'],
2022-10-28,Web3 is laying the foundation for the #metaverse and every business needs to be thinking about it. Watch the full discussion between Accenture’s @PaulDaugh and @FortuneMagazine’s @AlanSMurray and learn how companies are taking a #RadicallyHuman approach: https://t.co/IFmhirpXMZ https://t.co/wur9jiOawb,20,27,69,5,"['metaverse', 'RadicallyHuman']",
2022-10-26,"A digital world where you can create, connect, and flourish? It’s possible. 🎙 Hear us out on the latest episode of #BuiltForChange: https://t.co/y9I1NjpwPw https://t.co/unR3Rt4IdW",10,18,50,0,['BuiltForChange'],🎙
2022-10-25,3 sets of machines are going to dramatically reduce the difficulty of solving some of the world's biggest challenges. Here's how: https://t.co/CgPfT168x4 #TechVision https://t.co/mAWTpG4AFB,1,7,36,1,['TechVision'],
2022-10-24,Need a great #lifehack for more efficient studying? Looking to align your investments with causes that matter most to you? Hear from 3 different perspectives on how to create more value. https://t.co/F1YtQAWEWi @WIRED https://t.co/dgJMbzZTzH,4,11,39,1,['lifehack'],
2022-10-21,"Cloud transformation is an ongoing journey. For high tech companies who are both builders and users of the #cloud, that journey is a little more complex. The likelihood for disruption—and opportunity—has never been higher. https://t.co/kvLom90TOo https://t.co/z4NtZ36Tkh",5,9,34,1,['cloud'],
2022-10-20,"The benefits of #cloud go far beyond financial, cloud #technology is sparking new waves of innovation. 

Just think of the possibilities within aerospace and defense 🛰️ https://t.co/ahHgb3M6GC https://t.co/cdEyz2A1xi",3,5,27,0,"['cloud', 'technology']",🛰
2022-10-19,"Our partnership with @intel does more than optimize technologies to create value for our clients. Together, we provide the right people with the right expertise to drive—and accelerate—#cloud transformation. https://t.co/GGEj8klFoQ #DigitalTransformation https://t.co/JB7a027S7S",4,5,29,1,"['cloud', 'DigitalTransformation']",
2022-10-19,What Web3 and #metaverse capabilities will your organization have? It's time to prepare for the latest evolution of the internet: https://t.co/41RQvjz8p2 https://t.co/r4a0QirnUA,2,7,36,0,['metaverse'],
2022-10-18,"In industries like #aerospace and defense, there’s no room for error. But security concerns are easing as aerospace and defense organizations realize enhanced #security is just one of the many advantages of a cloud-enabled future: https://t.co/sjdOohpPMb https://t.co/7iwK2xJocw",3,6,22,0,"['aerospace', 'security']",
2022-10-17,"From accelerating #DigitalTransformation to product innovation; the value of #cloud is clear. But for High Tech companies who are providers, consumers and enablers of cloud all in one, the cloud’s potential is even greater. https://t.co/Y0ziNB82co https://t.co/FrcJ81E1RW",0,5,30,0,"['DigitalTransformation', 'cloud']",
2022-10-17,"#AI can already create art, recommend new shows and help us plan the quickest travel routes. How does AI show up in your everyday life today? Listen to our new @WIRED episode. https://t.co/8TXrx8w5sR https://t.co/bAzE0cyipK",2,7,21,0,['AI'],
2022-10-14,What Web3 and #metaverse capabilities will your organization have? It's time to prepare for the latest evolution of the internet: https://t.co/4VHgaljBYr https://t.co/BwURRbg1Vs,5,6,18,1,['metaverse'],
2022-10-13,We’re honored to be named one of the World’s Best Workplaces™ by @FortuneMagazine and Great Place to Work. See the impact our people have: https://t.co/VqGwEBrJY6 #WorldsBestWorkplaces #GPTWcertified @GPTW_US https://t.co/BjzyQnWHp4,2,14,46,2,"['WorldsBestWorkplaces', 'GPTWcertified']",™
2022-10-12,"We sat down with a Work Futurist, a Founder and CEO, and a Global Talent Lead. Hear what they had to say about the #FutureOfWork on episode 18 of the #BuiltForChange podcast: https://t.co/GtQYaOlSxK https://t.co/rNfUple3pG",2,1,24,0,"['FutureOfWork', 'BuiltForChange']",
2022-10-11,"As we celebrate our LGBTIQ+ community this #ComingOutDay, we're sharing tips on how you can be an ally by creating an environment where people can be themselves. https://t.co/DsIPODxcOd #PrideAtAccenture https://t.co/nYx3hAT3oL",13,12,32,3,"['ComingOutDay', 'PrideAtAccenture']",
2022-10-10,"Can #AI be explained in terms everyone can understand? In a brand new season with @WIRED, we explore how AI impacts our everyday lives, businesses and the planet through 3 perspectives—a child, a college student and one of our own experts: https://t.co/ixwN1Fm5OO https://t.co/b2Lej4keJg",4,12,22,0,['AI'],
2022-10-10,"It’s ok to not be ok.

We're committed to breaking down the stigma of mental health &amp; wellness. 

Dr. Tamarah Duperval-Brownlee, our Chief Health Officer, explains how we make all dimensions of health a priority. https://t.co/npPSwZJAvX #WorldMentalHealthDay https://t.co/NVtbzMEt1l",2,11,41,1,['WorldMentalHealthDay'],
2022-10-07,"Inspired by a childhood dream to “build the world,” Dheeraj does just that by designing innovations in the auto and aviation industry. https://t.co/bZdCWRudKW #CareersAZ https://t.co/6U0HLymW36",8,0,21,0,['CareersAZ'],
2022-10-07,Are legacy mindsets holding you back? Keep up with changing consumer habits by focusing on these 12 characteristics of the Future Ready #CPG: https://t.co/auVa66Gil5 https://t.co/AVZ4NFXMAy,3,2,27,0,['CPG'],
2022-10-06,"As synthetic realness evolves, we'll have to consider what's real, what's not and more importantly, when does it matter? https://t.co/MufwZv2VMO #TechVision2022 https://t.co/NFxrO2Y9Xu",4,0,10,0,['TechVision2022'],
2022-10-05,"At a time when the world feels out of control, consumer behavior can seem… contradictory. Here’s what they have to say...  

…and here’s why brands must evolve to meet their ever-changing needs and priorities: https://t.co/2witVIASVi #LifeCentricity https://t.co/fs917gMFej",5,4,11,0,['LifeCentricity'],
2022-10-05,"Mastering the art of AI maturity means designing AI responsibly. Whether you're just getting started or getting ready to scale, #ResponsibleAI must be embedded in every step of the process. Here’s why: https://t.co/BfxWo8Ygl6 https://t.co/hCRG01d0KW",1,6,22,1,['ResponsibleAI'],
2022-10-04,"Congrats to our Chair &amp; CEO @JulieSweet for being recognized on @FortuneMagazine’s #FortuneMPW list. 

Our people, clients &amp; communities are inspired by the value you help us create in every direction, every day. https://t.co/sHkp7nPeD8 #LetThereBeChange https://t.co/XYjJCH56yz",11,40,123,4,"['FortuneMPW', 'LetThereBeChange']",
2022-10-03,"#Agritech leader @Indigoag wants to save farms… and the planet. It all starts with soil—get the full story on our podcast, #BuiltForChange: https://t.co/oeVtxkvzZQ https://t.co/CbBjxVDtV5",3,6,19,1,"['Agritech', 'BuiltForChange']",
2022-09-30,"Happy #InternationalPodcastDay! 🎧 

Looking for something new to listen too? Tune into @Adweek’s 2021 Thought Leadership Podcast of the Year: https://t.co/ZpTNcUhXTh https://t.co/ZWQUQkgmof",7,4,21,0,['InternationalPodcastDay'],🎧
